"from","to","relation","date"
"19713029164","11484304691","PARENT","1978-09-03"
"11484304691","19713029164","OFFSPRING","1978-09-03"
"44749770013","69458956278","SIBLING","1975-07-02"
"69458956278","44749770013","SIBLING","1975-07-02"
"50028951877","27099235325","SPOUSE","1996-11-17"
"27099235325","50028951877","SPOUSE","1996-11-17"
"51421588916","27285573271","SIBLING","1976-03-03"
"27285573271","51421588916","SIBLING","1976-03-03"
"66531730569","28155013499","PARENT","1996-04-25"
"28155013499","66531730569","OFFSPRING","1996-04-25"
"35252112700","25992643528","SPOUSE","1972-09-28"
"25992643528","35252112700","SPOUSE","1972-09-28"
"82434142707","15886173230","SIBLING","2012-11-22"
"15886173230","82434142707","SIBLING","2012-11-22"
"55943044036","65332304935","SPOUSE","2008-07-06"
"65332304935","55943044036","SPOUSE","2008-07-06"
"61784817188","26593172729","SPOUSE","1991-05-30"
"26593172729","61784817188","SPOUSE","1991-05-30"
"84254138991","72068883304","SIBLING","2004-05-19"
"72068883304","84254138991","SIBLING","2004-05-19"
"23314596926","11406240622","PARENT","1991-05-28"
"11406240622","23314596926","OFFSPRING","1991-05-28"
"65603815488","41635098139","PARENT","1975-08-19"
"41635098139","65603815488","OFFSPRING","1975-08-19"
"12091129960","50584456303","SPOUSE","2007-02-04"
"50584456303","12091129960","SPOUSE","2007-02-04"
"36435340871","42809700661","SIBLING","1995-02-08"
"42809700661","36435340871","SIBLING","1995-02-08"
"70067052718","73557354106","PARENT","1974-08-25"
"73557354106","70067052718","OFFSPRING","1974-08-25"
"64968451583","78980335094","SPOUSE","1993-01-06"
"78980335094","64968451583","SPOUSE","1993-01-06"
"21916352651","92878247259","PARENT","1973-08-31"
"92878247259","21916352651","OFFSPRING","1973-08-31"
"16275273414","59102194582","PARENT","1978-04-14"
"59102194582","16275273414","OFFSPRING","1978-04-14"
"37411140987","69316787843","SIBLING","1990-05-18"
"69316787843","37411140987","SIBLING","1990-05-18"
"99362029410","76346864293","SPOUSE","2005-06-21"
"76346864293","99362029410","SPOUSE","2005-06-21"
"16295605823","56505830115","PARENT","1981-07-29"
"56505830115","16295605823","OFFSPRING","1981-07-29"
"68596039607","47390585238","PARENT","1985-09-02"
"47390585238","68596039607","OFFSPRING","1985-09-02"
"86703446144","58732565179","SIBLING","2019-07-09"
"58732565179","86703446144","SIBLING","2019-07-09"
"44231832982","72991224319","SPOUSE","1983-09-07"
"72991224319","44231832982","SPOUSE","1983-09-07"
"99627432758","45611467502","SPOUSE","2006-03-23"
"45611467502","99627432758","SPOUSE","2006-03-23"
"53040308737","55706887734","PARENT","2018-08-25"
"55706887734","53040308737","OFFSPRING","2018-08-25"
"19866749985","75476694555","PARENT","1981-02-10"
"75476694555","19866749985","OFFSPRING","1981-02-10"
"47370845362","77109729860","SIBLING","1995-07-29"
"77109729860","47370845362","SIBLING","1995-07-29"
"18847025406","77933738445","SIBLING","1981-02-28"
"77933738445","18847025406","SIBLING","1981-02-28"
"52785712247","31591899811","PARENT","1972-01-24"
"31591899811","52785712247","OFFSPRING","1972-01-24"
"86603777080","89530167781","SIBLING","1983-07-16"
"89530167781","86603777080","SIBLING","1983-07-16"
"41263330698","72876780995","PARENT","1974-04-11"
"72876780995","41263330698","OFFSPRING","1974-04-11"
"46084238735","21407708268","SPOUSE","1980-09-24"
"21407708268","46084238735","SPOUSE","1980-09-24"
